img_name,leaf_weight
001.png,53.374603
002.png,349.6973
003.png,9.171343
004.png,50.288742
005.png,60.60164
006.png,54.876015
007.png,1.0641867
008.png,60.519047
009.png,1.0503826
010.png,65.402275
011.png,1.2441517
012.png,35.606533
013.png,37.006554
014.png,30.0238
015.png,28.597103
016.png,58.905285
017.png,62.491558
018.png,36.903503
019.png,61.11947
020.png,326.51212
021.png,40.563606
022.png,0.8757464
023.png,16.729792
024.jpg,27.177963
025.png,58.6981
026.png,85.82194
027.png,140.85234
028.png,44.458042
029.png,72.97023
030.png,63.809494
031.png,66.25484
032.png,5.3768907
033.png,1.1693939
034.png,4.6841564
035.png,1.0010649
036.png,172.90106
037.png,1.2276938
038.png,66.01337
039.png,2.5080302
040.png,38.76122
041.png,72.90049
042.png,127.09279
043.png,0.87455356
044.png,33.801582
045.png,57.57245
046.png,33.02155
047.png,62.559734
048.png,36.470238
049.jpg,89.21994
050.png,62.371616
051.jpg,272.76846
052.png,60.076145
053.png,69.50405
054.png,66.96841
055.png,61.845104
056.png,44.73865
057.png,58.12431
058.png,35.23263
059.png,19.304905
060.png,58.76879
061.png,1.019902
062.png,17.54082
063.png,71.53635
064.png,64.39062
065.png,68.67284
066.png,43.6253
067.png,50.449345
068.png,54.66483
069.png,135.10143
070.png,3.4320593
071.png,273.18832
072.png,65.48379
073.png,65.37862
074.png,2.1378527
075.png,1.6665884
076.jpg,151.68678
077.png,1.1327139
078.png,60.66133
079.png,58.928177
080.png,50.04042
081.png,58.313316
082.png,62.102676
083.png,1.0067222
084.png,1.7576005
085.png,1.2021016
086.png,28.142286
087.png,53.401943
088.png,55.73967
089.png,60.668907
090.png,41.931637
091.png,68.157455
092.png,64.53449
093.png,7.4749136
094.png,19.539679
095.png,34.507458
096.png,31.609097
097.jpg,39.046883
098.png,64.53179
099.png,59.805122
100.png,2.971611
101.png,318.06323
102.png,0.8874388
103.png,52.406666
104.png,60.922215
105.png,1.290614
106.png,4.8185515
107.png,62.747852
108.png,31.931877
109.png,1.0075822
110.png,0.84613276
111.jpg,19.309998
112.png,1.2603744
113.png,1.0373893
114.png,54.03366
115.png,57.683155
116.png,41.43833
117.png,262.37164
118.png,4.704059
119.png,33.00074
120.png,1.5296292
121.jpg,178.44557
122.png,36.32266
123.png,38.667194
124.png,36.13575
125.png,31.37124
126.png,55.962273
127.png,38.12479
128.png,44.890438
129.jpg,1.8054655
130.png,21.479645
131.png,29.116495
132.png,376.4555
133.png,33.389984
134.png,375.85583
135.png,113.59612
136.jpg,47.72241
137.png,0.7309597
138.png,294.02896
139.png,48.17393
140.png,36.66537
141.png,53.019527
142.png,91.848015
143.png,63.060368
144.png,1.2657334
145.png,34.031986
146.png,65.52158
147.png,7.1343555
148.png,73.480576
149.png,49.04192
150.png,0.7190476
151.jpg,3.3263066
152.png,29.108261
153.png,0.8541879
154.png,61.38566
155.png,24.601965
156.png,5.510158
157.png,1.6155193
158.png,33.108734
159.png,51.4975
160.png,33.61337
161.png,46.15197
162.png,1.4568233
163.png,1.278936
164.jpg,15.581808
165.jpg,1.869739
166.png,0.88283235
167.png,1.2418661
168.png,6.4846497
169.png,17.84262
170.png,51.586575
171.png,33.24961
172.png,47.403625
173.png,1.1272748
174.png,1.2281373
175.jpg,6.0472975
176.png,1.768453
177.png,66.94414
178.png,62.114544
179.png,11.707016
180.png,31.268047
181.png,212.91264
182.png,0.9367631
183.jpg,33.011574
184.png,62.41181
185.png,1.682442
186.png,232.24504
187.png,17.575552
188.png,418.8397
189.png,32.14026
190.png,42.596928
191.png,2.6891541
192.png,70.01451
193.png,59.233776
194.png,4.411384
195.png,54.581425
196.png,1.0804187
197.png,35.23071
198.png,52.774082
199.png,131.7148
200.png,51.812313
201.png,34.60026
202.png,243.58403
203.png,0.8833845
204.png,60.244682
205.png,5.52295
206.png,55.064976
207.png,54.828533
208.png,18.104612
209.png,21.258188
210.png,54.270542
211.png,29.868507
212.png,0.8030836
213.png,5.107297
214.png,7.917284
215.png,46.177177
216.png,48.793945
217.png,49.03229
218.png,5.253149
219.png,57.299587
220.png,65.73815
221.png,36.50853
222.png,147.66881
223.png,41.59648
224.png,49.64409
225.png,23.210161
226.png,72.38873
227.png,34.19039
228.png,46.58509
229.png,41.289295
230.png,36.35072
231.png,64.26112
232.png,0.82671326
233.png,31.67773
234.png,350.7164
235.png,45.095505
236.png,122.37673
237.png,0.92363167
238.png,6.611808
239.jpg,3.168606
240.jpg,9.824226
241.png,247.09213
242.jpg,15.827016
243.png,35.016403
244.png,1.694835
245.png,45.681026
246.png,0.76406527
247.jpg,64.22028
248.png,65.59015
249.png,42.867046
250.png,51.13135
251.png,30.829527
252.png,54.20045
253.png,10.984492
254.png,62.977936
255.png,10.353828
256.png,54.418636
257.png,54.595203
258.png,54.74161
259.png,45.106976
260.png,0.82616365
261.png,60.22459
262.png,68.66334
263.png,66.187584
264.png,57.741463
265.png,37.95016
266.png,5.0788174
267.png,39.30215
268.png,1.4611869
269.png,1.31517
270.png,56.069847
271.png,105.84073
272.png,57.60385
273.png,64.04513
274.png,72.50059
275.png,22.144335
276.jpg,311.30243
277.png,8.01775
278.png,1.2024868
279.png,0.98632747
280.png,402.5414
281.png,31.97922
282.png,0.7491267
283.png,9.611482
284.png,1.1945541
285.png,216.09059
286.png,64.97437
287.png,192.79135
288.png,202.2783
289.png,5.258414
290.png,0.8834324
291.png,34.903507
292.png,34.55349
293.png,0.8283051
294.png,10.633656
295.png,12.854375
296.png,64.83388
297.png,1.2439097
298.png,12.792442
299.png,0.8807448
300.png,54.813786
301.png,34.17379
302.png,1.2556493
303.png,50.1369
304.jpg,8.401523
305.png,58.97486
306.png,5.0569963
307.png,35.521175
308.png,0.7766069
309.jpg,27.153034
310.png,56.667572
311.png,404.51654
312.png,31.661745
313.jpg,247.14616
314.png,134.63661
315.png,9.135688
316.png,12.045027
317.png,1.1434783
318.png,159.67635
319.png,65.62136
320.png,63.859177
321.png,41.441845
322.png,73.32081
323.png,1.2751129
324.png,1.1829628
325.png,72.99111
326.png,17.589228
327.png,112.66543
328.png,48.208954
329.png,33.70644
330.png,96.57757
331.png,1.2414974
332.png,5.0865154
333.jpg,213.62097
334.png,249.12553
335.png,38.500793
336.png,33.432568
337.png,4.145199
338.png,35.31484
339.png,59.862247
340.png,53.146774
341.png,34.366714
342.png,1.965828
343.png,69.55643
344.png,59.62224
345.png,63.42215
346.png,300.1522
347.png,33.316967
348.png,0.85627043
349.png,389.6532
350.jpg,11.802264
351.png,0.999416
352.png,68.85643
353.png,25.12295
354.png,5.7206035
355.png,6.820483
356.png,43.205753
357.png,17.437126
358.png,33.696808
359.png,0.8016456
360.png,59.819057
361.png,64.6989
362.png,208.6806
363.png,33.523598
364.png,38.01441
365.png,15.939745
366.png,288.98523
367.png,285.1569
368.png,17.875454
369.png,36.261257
370.png,60.304264
371.png,50.734894
372.png,2.3335633
373.png,60.947376
374.png,297.46445
375.png,166.27892
376.png,190.25574
377.png,60.01158
378.png,4.2918525
379.jpg,125.40488
380.png,33.258972
381.png,0.8499696
382.png,56.23424
383.png,34.367714
384.png,2.2131007
385.png,356.83994
386.png,58.176506
387.jpg,1.5586016
388.png,1.1581091
389.png,61.36271
390.png,1.1225522
391.png,8.05572
392.png,57.264
393.png,17.060738
394.png,222.07225
395.jpg,104.51302
396.png,56.99915
397.png,33.842278
398.png,51.27227
399.png,2.3569171
400.png,77.421165
401.png,22.72657
402.png,59.769722
403.png,36.92792
404.png,26.299574
405.png,37.34885
406.png,26.308493
407.png,34.029224
408.png,58.925407
409.png,0.9146378
410.png,40.17398
411.png,59.306507
412.png,24.305943
413.png,407.28012
414.png,5.9996853
415.png,11.59667
416.png,400.86322
417.png,37.345036
418.png,4.1423965
419.png,44.268795
420.png,40.7683
421.png,270.41852
422.png,12.178528
423.png,33.46141
424.png,35.61878
425.png,62.299854
426.png,92.485016
427.png,31.969887
428.png,56.956627
429.png,26.584312
430.png,1.2482352
431.png,61.900105
432.png,1.012205
433.png,62.400497
434.png,183.08524
435.png,13.0787115
436.png,58.174236
437.png,1.2505003
438.png,69.52932
439.png,58.211067
440.png,17.995977
441.png,85.99824
442.png,6.3135133
443.png,61.011658
444.png,34.560562
445.png,38.488422
446.png,2.6056705
447.png,0.7138116
448.png,4.5974994
449.png,4.7138357
450.png,30.30592
451.png,27.677656
452.png,1.2071673
453.png,361.52853
454.png,2.7407455
455.png,80.05936
456.png,72.88684
457.png,64.44953
458.png,34.06214
459.png,51.024048
460.png,281.71054
