img_name,leaf_weight
001.png,62.256046
002.png,343.95007
003.png,7.2978024
004.png,62.586464
005.png,72.26687
006.png,67.75497
007.png,0.46092075
008.png,70.101135
009.png,0.833067
010.png,71.75898
011.png,0.31999528
012.png,45.643898
013.png,27.01423
014.png,38.91005
015.png,21.623138
016.png,69.55892
017.png,69.57194
018.png,46.356865
019.png,72.81552
020.png,321.87732
021.png,50.304794
022.png,0.64451456
023.png,14.784856
024.jpg,18.483948
025.png,68.46382
026.png,91.095505
027.png,148.74686
028.png,54.358974
029.png,77.75916
030.png,75.80501
031.png,70.563736
032.png,6.8413396
033.png,0.41897058
034.png,6.899557
035.png,5.7356043
036.png,180.29204
037.png,0.35264832
038.png,73.31093
039.png,1.8085458
040.png,47.71581
041.png,77.803116
042.png,124.69659
043.png,1.2624838
044.png,40.541973
045.png,68.41446
046.png,39.57404
047.png,70.88934
048.png,45.648342
049.jpg,84.459274
050.png,72.25963
051.jpg,268.5993
052.png,69.515015
053.png,74.925545
054.png,70.58263
055.png,74.39821
056.png,49.17957
057.png,70.62573
058.png,41.71724
059.png,28.332186
060.png,68.90288
061.png,0.51198286
062.png,25.77564
063.png,76.97124
064.png,76.71131
065.png,73.260864
066.png,54.547905
067.png,63.451893
068.png,67.642715
069.png,141.20741
070.png,5.9484386
071.png,270.23416
072.png,77.73913
073.png,72.38
074.png,2.1513078
075.png,7.4952884
076.jpg,157.73589
077.png,0.36446854
078.png,69.581635
079.png,67.624146
080.png,62.65993
081.png,67.451584
082.png,73.89215
083.png,4.957596
084.png,7.6535835
085.png,0.31999528
086.png,20.463818
087.png,66.01174
088.png,64.5671
089.png,71.867134
090.png,52.86176
091.png,72.10996
092.png,76.89014
093.png,7.252997
094.png,20.640491
095.png,41.17446
096.png,41.76271
097.jpg,31.00575
098.png,71.95075
099.png,72.32866
100.png,3.2037196
101.png,313.3085
102.png,0.94973856
103.png,62.10156
104.png,72.92321
105.png,0.31999528
106.png,5.2237535
107.png,71.47412
108.png,41.424316
109.png,0.46810102
110.png,0.5441325
111.jpg,9.071062
112.png,0.31999528
113.png,0.44118762
114.png,68.463524
115.png,64.63326
116.png,52.36409
117.png,265.76056
118.png,4.7413363
119.png,43.80958
120.png,0.78876024
121.jpg,167.2696
122.png,25.48423
123.png,48.907875
124.png,48.1339
125.png,39.508404
126.png,63.072834
127.png,47.023212
128.png,55.95979
129.jpg,0.5141312
130.png,31.364304
131.png,28.583912
132.png,380.08615
133.png,34.156425
134.png,369.49957
135.png,117.81316
136.jpg,42.021877
137.png,0.73872685
138.png,294.9622
139.png,57.871304
140.png,39.350636
141.png,62.410538
142.png,102.70146
143.png,75.7308
144.png,0.31999528
145.png,35.43892
146.png,77.762054
147.png,12.992532
148.png,78.234856
149.png,55.96659
150.png,2.6466374
151.jpg,0.66929585
152.png,28.874678
153.png,1.6798588
154.png,73.98279
155.png,34.58998
156.png,7.1339583
157.png,2.9052787
158.png,39.66931
159.png,64.43102
160.png,39.97933
161.png,59.041847
162.png,0.6202166
163.png,0.31999528
164.jpg,6.664396
165.jpg,0.96239305
166.png,6.165377
167.png,0.38552088
168.png,5.89379
169.png,16.139196
170.png,58.673763
171.png,39.83691
172.png,57.25034
173.png,0.42093563
174.png,5.634161
175.jpg,1.5433096
176.png,2.847413
177.png,72.211655
178.png,74.93024
179.png,12.134667
180.png,23.566944
181.png,215.42802
182.png,0.68312854
183.jpg,24.647594
184.png,75.44672
185.png,2.5488858
186.png,233.03673
187.png,17.810453
188.png,410.8662
189.png,38.554146
190.png,54.709686
191.png,6.8562737
192.png,75.80028
193.png,67.88831
194.png,6.264379
195.png,67.4383
196.png,0.38346317
197.png,25.191198
198.png,62.55987
199.png,130.91211
200.png,60.13978
201.png,44.07694
202.png,242.173
203.png,0.5271411
204.png,72.35208
205.png,9.834864
206.png,59.259216
207.png,67.12877
208.png,15.615495
209.png,15.353534
210.png,64.13553
211.png,38.542248
212.png,0.5572506
213.png,5.2008657
214.png,7.338512
215.png,57.667965
216.png,58.057217
217.png,60.98843
218.png,4.981212
219.png,67.04651
220.png,71.16934
221.png,25.862404
222.png,148.77565
223.png,53.24042
224.png,61.882145
225.png,16.990139
226.png,77.265945
227.png,40.48859
228.png,59.085194
229.png,45.300663
230.png,27.30743
231.png,76.076515
232.png,4.467569
233.png,32.291447
234.png,345.02417
235.png,56.135334
236.png,124.742935
237.png,0.8187334
238.png,4.3328004
239.jpg,1.0031159
240.jpg,1.7828696
241.png,248.66542
242.jpg,7.010702
243.png,41.192448
244.png,2.5066624
245.png,56.56315
246.png,0.6584449
247.jpg,61.009804
248.png,71.226204
249.png,26.364302
250.png,59.729416
251.png,22.025988
252.png,62.80119
253.png,8.451049
254.png,70.26282
255.png,16.91007
256.png,62.98207
257.png,62.804615
258.png,53.98444
259.png,55.96918
260.png,0.9595406
261.png,73.212814
262.png,72.88118
263.png,72.211655
264.png,60.767467
265.png,47.51414
266.png,6.4930596
267.png,50.303864
268.png,1.6207324
269.png,0.31999528
270.png,68.70304
271.png,116.66314
272.png,67.3341
273.png,74.211784
274.png,76.46318
275.png,21.815613
276.jpg,300.4499
277.png,7.6059613
278.png,0.35498336
279.png,0.4430281
280.png,394.09732
281.png,40.188942
282.png,2.9467673
283.png,10.415066
284.png,0.36015677
285.png,215.78903
286.png,70.71638
287.png,193.40611
288.png,203.68622
289.png,5.2803645
290.png,0.9385984
291.png,45.174828
292.png,41.956417
293.png,0.595222
294.png,9.825659
295.png,13.298669
296.png,71.525665
297.png,0.3383712
298.png,8.759884
299.png,0.8996294
300.png,61.387936
301.png,41.088272
302.png,0.31999528
303.png,61.952366
304.jpg,1.273331
305.png,68.992676
306.png,4.5875287
307.png,44.883976
308.png,2.051537
309.jpg,17.969116
310.png,69.27303
311.png,397.11237
312.png,40.915096
313.jpg,238.77896
314.png,131.63554
315.png,5.559141
316.png,18.58215
317.png,0.33454028
318.png,160.81915
319.png,77.551056
320.png,68.179306
321.png,43.686676
322.png,82.15911
323.png,0.31999528
324.png,0.31999528
325.png,78.42006
326.png,25.646734
327.png,120.854164
328.png,57.775764
329.png,40.692863
330.png,92.32326
331.png,0.31999528
332.png,4.9172635
333.jpg,202.58269
334.png,247.27173
335.png,27.3161
336.png,40.28134
337.png,4.88039
338.png,31.288834
339.png,70.42672
340.png,62.225502
341.png,40.796944
342.png,2.0074053
343.png,73.35963
344.png,71.72328
345.png,76.59994
346.png,300.66016
347.png,24.02392
348.png,0.50523984
349.png,381.84906
350.jpg,6.862964
351.png,0.840333
352.png,72.459694
353.png,24.65538
354.png,8.748551
355.png,7.695613
356.png,47.610317
357.png,24.694813
358.png,40.309013
359.png,0.61284137
360.png,72.05235
361.png,77.16223
362.png,213.16566
363.png,42.96214
364.png,27.080828
365.png,22.836197
366.png,289.27304
367.png,282.01398
368.png,15.577348
369.png,45.63844
370.png,74.27544
371.png,63.73028
372.png,3.2166333
373.png,73.645966
374.png,298.37296
375.png,166.0037
376.png,195.89812
377.png,68.71606
378.png,4.4280157
379.jpg,130.80861
380.png,41.062893
381.png,0.85023594
382.png,63.81278
383.png,24.791271
384.png,2.9369907
385.png,358.8544
386.png,71.198456
387.jpg,0.5841979
388.png,0.3891019
389.png,70.15307
390.png,0.4991099
391.png,14.9751625
392.png,70.50838
393.png,15.509713
394.png,221.54518
395.jpg,96.09337
396.png,69.09011
397.png,41.8404
398.png,64.06476
399.png,1.5532159
400.png,74.57424
401.png,22.918095
402.png,72.29047
403.png,33.434143
404.png,36.37215
405.png,47.463337
406.png,35.920177
407.png,40.343655
408.png,67.88049
409.png,1.0688853
410.png,39.219246
411.png,68.17911
412.png,24.233019
413.png,399.01154
414.png,5.4719515
415.png,10.45135
416.png,393.42938
417.png,40.493603
418.png,4.7810287
419.png,55.57961
420.png,50.112015
421.png,274.7986
422.png,13.616076
423.png,24.584522
424.png,46.11315
425.png,74.22648
426.png,97.95107
427.png,31.952457
428.png,69.07499
429.png,20.178179
430.png,0.33863518
431.png,74.62201
432.png,0.4880904
433.png,75.41248
434.png,184.38826
435.png,19.529081
436.png,69.99752
437.png,0.31999528
438.png,74.38317
